matrix_size,threads_used,seconds
5000,1,1971
5000,1,1983
5000,1,1952
5000,1,1986
5000,1,1948
5000,1,1941
5000,1,1943
5000,1,1951
5000,1,1950
5000,1,1998
5000,16,181
5000,16,185
5000,16,184
5000,16,181
5000,16,182
5000,16,184
5000,16,183
5000,16,181
5000,16,184
5000,16,184
5000,32,135
5000,32,131
5000,32,139
5000,32,140
5000,32,139
5000,32,140
5000,32,137
5000,32,134
5000,32,134
5000,32,131
5000,48,137
5000,48,136
5000,48,130
5000,48,140
5000,48,137
5000,48,140
5000,48,137
5000,48,137
5000,48,139
5000,48,135
5000,64,132
5000,64,130
5000,64,131
5000,64,129
5000,64,129
5000,64,131
5000,64,129
5000,64,135
5000,64,130
5000,64,129
5000,80,120
5000,80,121
5000,80,122
5000,80,126
5000,80,125
5000,80,121
5000,80,123
5000,80,122
5000,80,123
5000,80,122
5000,96,117
5000,96,118
5000,96,119
5000,96,121
5000,96,121
5000,96,118
5000,96,117
5000,96,120
5000,96,117
5000,96,121
5000,112,121
5000,112,123
5000,112,123
5000,112,119
5000,112,123
5000,112,121
5000,112,120
5000,112,121
5000,112,119
5000,112,125
5000,128,119
5000,128,122
5000,128,121
5000,128,121
5000,128,116
5000,128,121
5000,128,119
5000,128,118
5000,128,120
5000,128,122
5000,144,117
5000,144,118
5000,144,114
5000,144,130
5000,144,125
5000,144,127
5000,144,113
5000,144,119
5000,144,113
5000,144,117
5000,160,113
5000,160,123
5000,160,126
5000,160,118
5000,160,124
5000,160,120
5000,160,118
5000,160,113
5000,160,118
5000,160,118
5000,176,112
5000,176,119
5000,176,128
5000,176,120
5000,176,110
5000,176,122
5000,176,116
5000,176,112
5000,176,114
5000,176,125
5000,192,120
5000,192,120
5000,192,118
5000,192,111
5000,192,130
5000,192,120
5000,192,122
5000,192,116
5000,192,120
5000,192,117
5000,208,126
5000,208,121
5000,208,121
5000,208,130
5000,208,121
5000,208,113
5000,208,127
5000,208,129
5000,208,127
5000,208,128
5000,224,126
5000,224,131
5000,224,126
5000,224,119
5000,224,130
5000,224,131
5000,224,131
5000,224,125
5000,224,129
5000,224,125
5000,240,131
5000,240,130
5000,240,134
5000,240,125
5000,240,134
5000,240,132
5000,240,141
5000,240,128
5000,240,125
5000,240,131
5000,256,137
5000,256,136
5000,256,141
5000,256,135
5000,256,138
5000,256,137
5000,256,137
5000,256,133
5000,256,135
5000,256,131
5000,272,138
5000,272,138
5000,272,132
5000,272,133
5000,272,136
5000,272,135
5000,272,132
5000,272,138
5000,272,136
5000,272,137
6000,1,5179
6000,1,4914
6000,1,4987
6000,1,5568
6000,1,5166
6000,1,4994
6000,1,5967
6000,1,5392
6000,1,5187
6000,1,5245
6000,16,432
6000,16,379
6000,16,426
6000,16,411
6000,16,436
6000,16,387
6000,16,403
6000,16,422
6000,16,437
6000,16,443
6000,32,267
6000,32,242
6000,32,250
6000,32,294
6000,32,269
6000,32,292
6000,32,250
6000,32,246
6000,32,278
6000,32,275
6000,48,237
6000,48,231
6000,48,236
6000,48,241
6000,48,236
6000,48,229
6000,48,257
6000,48,233
6000,48,230
6000,48,253
6000,64,227
6000,64,232
6000,64,220
6000,64,232
6000,64,216
6000,64,228
6000,64,232
6000,64,219
6000,64,222
6000,64,232
6000,80,224
6000,80,211
6000,80,202
6000,80,203
6000,80,200
6000,80,229
6000,80,209
6000,80,230
6000,80,216
6000,80,200
6000,96,213
6000,96,216
6000,96,205
6000,96,204
6000,96,202
6000,96,208
6000,96,210
6000,96,212
6000,96,204
6000,96,207
6000,112,215
6000,112,219
6000,112,210
6000,112,218
6000,112,223
6000,112,213
6000,112,209
6000,112,204
6000,112,209
6000,112,210
6000,128,205
6000,128,217
6000,128,209
6000,128,201
6000,128,203
6000,128,219
6000,128,220
6000,128,206
6000,128,208
6000,128,207
6000,144,210
6000,144,228
6000,144,217
6000,144,220
6000,144,229
6000,144,209
6000,144,206
6000,144,226
6000,144,204
6000,144,203
6000,160,218
6000,160,208
6000,160,225
6000,160,216
6000,160,209
6000,160,213
6000,160,215
6000,160,202
6000,160,208
6000,160,217
6000,176,224
6000,176,219
6000,176,216
6000,176,214
6000,176,204
6000,176,225
6000,176,235
6000,176,223
6000,176,203
6000,176,229
6000,192,205
6000,192,226
6000,192,203
6000,192,212
6000,192,203
6000,192,203
6000,192,212
6000,192,200
6000,192,224
6000,192,200
6000,208,207
6000,208,200
6000,208,198
6000,208,194
6000,208,203
6000,208,218
6000,208,203
6000,208,201
6000,208,206
6000,208,189
6000,224,200
6000,224,195
6000,224,220
6000,224,207
6000,224,199
6000,224,190
6000,224,201
6000,224,209
6000,224,221
6000,224,201
6000,240,202
6000,240,199
6000,240,209
6000,240,206
6000,240,204
6000,240,198
6000,240,206
6000,240,202
6000,240,206
6000,240,194
6000,256,207
6000,256,210
6000,256,211
6000,256,203
6000,256,208
6000,256,213
6000,256,206
6000,256,215
6000,256,210
6000,256,210
6000,272,205
6000,272,211
6000,272,211
6000,272,223
6000,272,210
6000,272,219
6000,272,224
6000,272,219
6000,272,207
6000,272,211
7000,1,12415
7000,1,12587
7000,1,12645
7000,1,12319
7000,1,12723
7000,1,12143
7000,1,12355
7000,1,12182
7000,1,12822
7000,1,12616
7000,16,913
7000,16,909
7000,16,893
7000,16,928
7000,16,967
7000,16,909
7000,16,892
7000,16,916
7000,16,885
7000,16,897
7000,32,496
7000,32,497
7000,32,506
7000,32,502
7000,32,476
7000,32,481
7000,32,484
7000,32,493
7000,32,480
7000,32,504
7000,48,438
7000,48,424
7000,48,428
7000,48,443
7000,48,427
7000,48,428
7000,48,431
7000,48,430
7000,48,423
7000,48,434
7000,64,392
7000,64,389
7000,64,388
7000,64,394
7000,64,392
7000,64,399
7000,64,388
7000,64,384
7000,64,390
7000,64,391
7000,80,370
7000,80,367
7000,80,365
7000,80,375
7000,80,364
7000,80,369
7000,80,349
7000,80,369
7000,80,369
7000,80,367
7000,96,348
7000,96,350
7000,96,346
7000,96,348
7000,96,353
7000,96,353
7000,96,356
7000,96,341
7000,96,348
7000,96,345
7000,112,358
7000,112,350
7000,112,348
7000,112,355
7000,112,350
7000,112,359
7000,112,355
7000,112,348
7000,112,350
7000,112,346
7000,128,349
7000,128,348
7000,128,353
7000,128,345
7000,128,348
7000,128,348
